State,Stand_Age,Stand_Origin,Forest_type_group,tC,ac,tC_ac
Alabama,0-20 years,Total,Oak_pine_group,32205741.00,889958.00,36.19
Oklahoma,0-20 years,Natural,Loblolly_shortleaf pine group,2466924.00,68117.00,36.22
Kentucky,Total,Planted,Loblolly_shortleaf_pine_group,434549.00,11989.00,36.25
Alabama,0-20 years,Natural,Total,138735045.00,3821149.00,36.31
Mississippi,0-20 years,Planted,Elm_ash_cottonwood_group,726556.00,20002.00,36.32
Mississippi,Total,Planted,Elm_ash_cottonwood_group,726556.00,20002.00,36.32
Texas,21-40 years,Natural,Total,622335225.00,17114598.00,36.36
Texas,Total,Total,Other eastern softwoods group,9029959.00,247993.00,36.41
South Carolina,Total,Natural,Other eastern softwoods group,1155420.00,31731.00,36.41
Texas,Total,Natural,Other eastern softwoods group,8991488.00,246485.00,36.48
Alabama,81-100 years,Natural,Other_hardwoods_group,126824.00,3476.00,36.48
Alabama,81-100 years,Total,Other_hardwoods_group,126824.00,3476.00,36.48
Mississippi,Total,Planted,Oak_gum_cypress_group,9128921.00,250174.00,36.49
Texas,Total,Natural,Woodland hardwoods group,833520218.00,22828860.00,36.51
Texas,Total,Total,Woodland hardwoods group,833520218.00,22828860.00,36.51
Texas,81-100 years,Natural,Oak_hickory group,23277429.00,637418.00,36.52
Texas,81-100 years,Total,Oak_hickory group,23277429.00,637418.00,36.52
Oklahoma,21-40 years,Natural,Woodland hardwoods group,5989770.00,163988.00,36.53
Oklahoma,21-40 years,Total,Woodland hardwoods group,5989770.00,163988.00,36.53
Alabama,0-20 years,Natural,Elm_ash_cottonwood_group,4945264.00,135104.00,36.60
Missouri,41-60 years,Natural,Other hardwoods group,262826.00,7180.00,36.61
Missouri,41-60 years,Total,Other hardwoods group,262826.00,7180.00,36.61
Alabama,0-20 years,Total,Exotic_hardwoods_group,1342151.00,36649.00,36.62
Texas,21-40 years,Natural,Other eastern softwoods group,3627757.00,98980.00,36.65
Texas,21-40 years,Total,Other eastern softwoods group,3627757.00,98980.00,36.65
Tennessee,21-40 years,Natural,Other_eastern_softwoods_group,1885306.00,51433.00,36.66
Tennessee,21-40 years,Total,Other_eastern_softwoods_group,1885306.00,51433.00,36.66
North Carolina,0-20 years,Natural,Oak_hickory group,-,-,36.69
Arkansas,21-40 years,Natural,Other_eastern_softwoods_group,2465450.00,67164.00,36.71
Arkansas,21-40 years,Total,Other_eastern_softwoods_group,2465450.00,67164.00,36.71
Mississippi,0-20 years,Total,Oak_pine_group,18347326.00,499676.00,36.72
North Carolina,Total,Natural,Other eastern softwoods group,204459246.00,18111.00,36.76
North Carolina,Total,Total,Other eastern softwoods group,207188082.00,18111.00,36.76
Arkansas,0-20 years,Total,Total,148417043.00,4036361.00,36.77
Arkansas,41-60 years,Natural,Pinyon_juniper_group,59092.00,1606.00,36.78
Arkansas,41-60 years,Total,Pinyon_juniper_group,59092.00,1606.00,36.78
Texas,Total,Natural,Total,2165646164.00,58853138.00,36.80
Alabama,Total,Natural,Other_eastern_softwoods_group,2248146.00,61070.00,36.81
Alabama,0-20 years,Natural,Exotic_hardwoods_group,1296667.00,35204.00,36.83
Oklahoma,21-40 years,Natural,Oak_pine group,8808222.00,238951.00,36.86
Kentucky,0-20 years,Planted,Oak_gum_cypress_group,147654.00,4004.00,36.88
Kentucky,0-20 years,Total,Oak_gum_cypress_group,147654.00,4004.00,36.88
Kentucky,Total,Planted,Oak_gum_cypress_group,147654.00,4004.00,36.88
Mississippi,0-20 years,Natural,Other_hardwoods_group,291083.00,7884.00,36.92
Mississippi,0-20 years,Total,Other_hardwoods_group,291083.00,7884.00,36.92
Texas,61-80 years,Natural,Other eastern softwoods group,2500762.00,67661.00,36.96
Texas,61-80 years,Total,Other eastern softwoods group,2500762.00,67661.00,36.96
Texas,0-20 years,Total,Exotic hardwoods group,4621609.00,124874.00,37.01
Alabama,0-20 years,Total,Elm_ash_cottonwood_group,6683582.00,180322.00,37.06
Texas,Total,Total,Total,2299828908.00,61986691.00,37.10
Texas,0-20 years,Planted,Total,81232632.00,2186438.00,37.15
Arkansas,21-40 years,Planted,Oak_hickory_group,566733.00,15250.00,37.16
Oklahoma,21-40 years,Total,Oak_pine group,9099247.00,244837.00,37.16
Mississippi,0-20 years,Total,Oak_gum_cypress_group,16206728.00,435304.00,37.23
Texas,0-20 years,Natural,Exotic hardwoods group,4346440.00,116676.00,37.25
Oklahoma,21-40 years,Total,Total,115096830.00,3088459.00,37.27
Texas,21-40 years,Total,Total,672275530.00,18024032.00,37.30
Oklahoma,Total,Natural,Maple_beech_birch group,1114342.00,29824.00,37.36
Oklahoma,Total,Total,Maple_beech_birch group,1114342.00,29824.00,37.36
Louisiana,0-20 years,Natural,Total,81864764.00,2188893.00,37.40
Texas,61-80 years,Natural,Oak_hickory group,100338588.00,2673999.00,37.52
Texas,61-80 years,Total,Oak_hickory group,100338588.00,2673999.00,37.52
Kentucky,21-40 years,Planted,Oak_hickory_group,218388.00,5809.00,37.60
Mississippi,0-20 years,Natural,Total,95615097.00,2541615.00,37.62
Texas,100+ years,Natural,Oak_hickory group,5022384.00,133187.00,37.71
Texas,100+ years,Total,Oak_hickory group,5022384.00,133187.00,37.71
Oklahoma,61-80 years,Natural,Other eastern softwoods group,1371833.00,36303.00,37.79
Oklahoma,61-80 years,Total,Other eastern softwoods group,1371833.00,36303.00,37.79
Kentucky,0-20 years,Planted,Elm_ash_cottonwood_group,607014.00,16058.00,37.80
Kentucky,Total,Planted,Elm_ash_cottonwood_group,607014.00,16058.00,37.80
Louisiana,0-20 years,Total,Total,207165212.00,5462327.00,37.93
Tennessee,0-20 years,Natural,Other_hardwoods_group,753955.00,19875.00,37.93
